mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2015528678894043,0.01123400894546416,0.005965391794840495,0.0015667163419452667,0.8,0.01,3,500,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",0.6929537740097549,0.7098038967675315,0.6650811010400444,0.689279590605777,0.018441923836469018,1
0.19359946250915527,0.00851342301355156,0.0052899519602457685,0.0005326031755676072,0.8,0.01,3,500,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",0.6949196133329298,0.7169716210896633,0.6555747554541305,0.6891553299589078,0.025394408827915084,2
0.3548769950866699,0.013223923069685445,0.005857229232788086,0.00039356290533373005,0.8,0.01,3,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000, 'subsample': 0.8}",0.6839943223810723,0.7072189051388058,0.6671870657631458,0.6861334310943413,0.016412777146988227,5
0.3273580074310303,0.012828294151244412,0.0073544979095458984,0.0016927629904892505,0.8,0.01,3,1000,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000, 'subsample': 1.0}",0.6853212790577266,0.7095091972456453,0.6558332133189482,0.6835545632074401,0.02194870954895379,6
1.7022955417633057,0.02208121605564539,0.014931122461954752,0.0023884647463022625,0.8,0.01,3,5000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5000, 'subsample': 0.8}",0.6484327919768057,0.6671451578212924,0.6745559737061197,0.663377974501406,0.01099238853449406,12
1.6535998185475667,0.021112414308360195,0.019416173299153645,0.004630142727614386,0.8,0.01,3,5000,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5000, 'subsample': 1.0}",0.6203829181143257,0.6334636394898168,0.6616956433683208,0.638514066990821,0.017239787903474846,44
0.5031304359436035,0.005411673334925565,0.006595134735107422,0.0007164964246851985,0.8,0.01,6,500,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500, 'subsample': 0.8}",0.6738078160254575,0.6627816323977638,0.6911016840878663,0.6758970441703624,0.011655613457718346,9
0.5379084746042887,0.02614395743066436,0.0061588287353515625,0.0012120324984094834,0.8,0.01,6,500,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500, 'subsample': 1.0}",0.6539841439071707,0.6556771607304457,0.677887505363095,0.6625162700002372,0.010891058532155412,15
0.9682814280192057,0.047429206180740785,0.009124755859375,0.0007723835459825169,0.8,0.01,6,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1000, 'subsample': 0.8}",0.6642599875088712,0.6570920571485209,0.6879456491611255,0.6697658979395058,0.013183887192900636,10
0.9769632816314697,0.055058461582789486,0.017069180806477863,0.007833036122472593,0.8,0.01,6,1000,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1000, 'subsample': 1.0}",0.6446355432271205,0.6512641357460618,0.6682002113931584,0.6546999634554469,0.009922267230168206,21
6.1439125537872314,0.1588904869844984,0.04427750905354818,0.001274386302655416,0.8,0.01,6,5000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 5000, 'subsample': 0.8}",0.6544807687095034,0.6500820465069455,0.6853187992085349,0.6632938714749946,0.015677165358243678,13
6.122911214828491,0.1540171449623974,0.045503457387288414,0.00021124534917492271,0.8,0.01,6,5000,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 5000, 'subsample': 1.0}",0.6379008915590363,0.6432185924719789,0.6693980402253441,0.6501725080854531,0.013766754647734141,27
1.5511151154836018,0.03538733954230822,0.015058199564615885,0.001880081945463142,0.8,0.01,10,500,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500, 'subsample': 0.8}",0.6658860368366089,0.6488875046143165,0.685702135516838,0.6668252256559212,0.015044175370132742,11
1.8269890944163005,0.021156137032022473,0.013571659723917643,0.0013369609517918238,0.8,0.01,10,500,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500, 'subsample': 1.0}",0.6335924897735793,0.6451026732723901,0.6691241243679938,0.6492730958046544,0.014802445345526811,29
3.1456738313039145,0.23977089016053268,0.022737661997477215,0.0001575892502475402,0.8,0.01,10,1000,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'subsample': 0.8}",0.6571680345185638,0.6453734315668964,0.6805851855476768,0.6610422172110456,0.014633839169354363,17
3.7306222120920816,0.11075578769190879,0.023012638092041016,0.0041964562318197165,0.8,0.01,10,1000,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'subsample': 1.0}",0.6282718656018818,0.6459759447186133,0.6616893492083014,0.6453123865095988,0.013650696801968112,34
