datetime,aod,PM2.5,PM10,HFLUX,PBLH,QLML,SPEED,TLML
2025-01-02 06:30:00,0.094660684466362,77.0,143.0,154.09642028808594,971.8314819335938,0.003878967836499214,1.3347188234329224,294.7254333496094
2025-01-02 07:30:00,0.09035392105579376,46.0,91.0,141.9473876953125,1292.3260498046875,0.003992460668087006,2.127344846725464,296.82061767578125
2025-01-02 08:30:00,0.11238515377044678,35.0,65.0,112.54824829101562,1293.8089599609375,0.004246223717927933,2.6739158630371094,297.57257080078125
2025-01-03 05:30:00,0.04043689742684364,33.0,109.0,135.88510131835938,881.7810668945312,0.004955519922077656,3.711090564727783,295.0430603027344
2025-01-03 06:30:00,0.08272220194339752,36.0,107.0,165.95648193359375,999.2841796875,0.005022196564823389,3.9384472370147705,296.5671081542969
2025-01-03 06:30:00,0.08901336044073105,51.0,104.0,165.95648193359375,999.2841796875,0.005022196564823389,3.9384472370147705,296.5671081542969
2025-01-03 08:30:00,0.12582233548164368,32.0,81.0,123.50698852539062,1084.7659912109375,0.005161507520824671,3.2356021404266357,297.89996337890625
2025-01-04 06:30:00,0.09815531224012375,27.0,73.0,160.8571319580078,860.1619873046875,0.004956449847668409,2.2268805503845215,296.4097595214844
2025-01-04 07:30:00,0.10489652305841446,26.0,69.0,152.36663818359375,885.8925170898438,0.004897176753729582,1.9368290901184082,297.451416015625
2025-01-04 07:30:00,0.07537836581468582,15.0,56.0,152.36663818359375,885.8925170898438,0.004897176753729582,1.9368290901184082,297.451416015625
2025-01-04 08:30:00,0.0725574940443039,15.0,58.0,112.10073852539062,918.0675048828125,0.0047673629596829414,1.492658019065857,298.30633544921875
2025-01-04 08:30:00,0.12343569099903107,19.0,62.0,112.10073852539062,918.0675048828125,0.0047673629596829414,1.492658019065857,298.30633544921875
2025-01-05 06:30:00,0.6770387887954712,68.0,121.0,103.58198547363281,586.8865966796875,0.006124591920524836,3.850829839706421,294.5947265625
2025-01-05 07:30:00,1.1724555492401123,60.0,124.0,79.48258972167969,745.6181030273438,0.005632942076772451,3.3103466033935547,295.9893493652344
2025-01-06 06:30:00,0.25912296772003174,32.0,75.0,167.09124755859375,1721.1068115234375,0.005833065137267113,2.1136200428009033,295.89495849609375
