mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.400608142217,0.902988973585187,0.5559418996175131,0.1285537930407136,,sqrt,1,2,1000,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.38006276232817837,0.43242505869569603,0.3848383588587627,0.3991087266275457,0.023638740341681754,1
8.963523705800375,0.18721339864939612,0.869316816329956,0.024431563755830766,,sqrt,1,2,2000,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 2000}",0.37591799446397745,0.43115423380046747,0.3858623940644519,0.3976448741096323,0.024039975887686287,17
2.193339745203654,0.3661141062668751,0.2909207344055176,0.05904494318253839,,sqrt,1,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.3684456095460644,0.42076886188479623,0.3725197928521984,0.38724475476101966,0.023763404094501128,41
5.112882534662883,0.47314436616528915,0.5079484780629476,0.08569329470274495,,sqrt,1,5,1000,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}",0.37154738228664563,0.4210666240710095,0.37380312139781746,0.38880570925182417,0.022830492160886708,36
9.313638051350912,0.22369139250725936,0.8606804211934408,0.06553596704384865,,sqrt,1,5,2000,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 2000}",0.370753961624696,0.42339014898577054,0.37503167401801063,0.3897252615428257,0.023868643178021766,25
2.0904547373453775,0.26415556592344475,0.3376881281534831,0.04471562460648541,,sqrt,1,10,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.33490874618462274,0.39471321084424393,0.33970816670771287,0.35644337457885983,0.02713170206202632,105
4.629893064498901,0.5692402850325401,0.5702970027923584,0.13331122032951095,,sqrt,1,10,1000,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1000}",0.3371675439466826,0.39213442325598435,0.3394524739718605,0.3562514803915091,0.025390213570932983,118
1514.8900181452434,2128.4335660107436,0.8924010594685873,0.026387436686479675,,sqrt,1,10,2000,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 2000}",0.3370604742045201,0.39303393578347334,0.34441069705985716,0.3581683690159502,0.02483562298421684,97
2.4388557275136313,0.2881303276158116,0.32766397794087726,0.06759667351103009,,sqrt,2,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.36301778296995024,0.4128995027985929,0.37048405600387213,0.3821337805908051,0.021967150558342682,67
4.651276350021362,0.646727329656423,0.561321496963501,0.20466833509903273,,sqrt,2,2,1000,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",0.3695986811431392,0.4131945434338189,0.3734437604511538,0.38541232834270395,0.019707608771706443,59
9.34953769048055,0.2819330963290943,0.8286241690317789,0.04594943501886559,,sqrt,2,2,2000,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 2000}",0.3660895238897104,0.41883821917945685,0.3763960622269137,0.3871079350986936,0.022827824819848134,51
2.2041660149892173,0.28583380168250677,0.30420176188151044,0.02613176622311281,,sqrt,2,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.35213739639459374,0.41924126640856185,0.3633568061803618,0.3782451563278391,0.02934824890061073,90
4.249604781468709,0.7056583862829031,0.6175248622894287,0.12655430039534513,,sqrt,2,5,1000,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1000}",0.3548471676706809,0.4145089318405606,0.36557737734819906,0.3783111589531469,0.025967844493237715,81
